institucionUltimoEstudio,equivalencia,cantidad,igual
Fundacao Getulio Vargas - Fgv,Fundacao Getulio Vargas - Fgv,1,TRUE
Fundacion Carlos Slim,Fundacion Carlos Slim,6,TRUE
Fundacion Movistar,Fundacion Movistar,2,TRUE
Fundacion Proem,Fundacion Proem,1,TRUE
Fundacion Romero,Fundacion Romero,3,TRUE
Fundacion San Marcos,Fundacion San Marcos,11,TRUE
Fundacion Telefonica,Fundacion Telefonica,4,TRUE
Fundacion Universitaria Claretiana,Fundacion Universitaria Claretiana,1,TRUE
Fundacion Universitaria Los Libertadores,Fundacion Universitaria Los Libertadores,1,TRUE
Fundet,Fundet,1,TRUE
Gaceta Laboral,Gaceta Laboral,2,TRUE
Galaxy Training,Galaxy Training,13,TRUE
Galaxy Training - Peru,Galaxy Training,1,FALSE
Gamor,Gamor,2,TRUE
General Assembly,General Assembly,1,TRUE
Gesap,Gesap,6,TRUE
Gescam - Consultores Asociados Sac,Gescam - Consultores Asociados Sac,1,TRUE
Global Hitss,Global Hitss,1,TRUE
Global Institute,Global Institute,1,TRUE
Global Lynx,Global Lynx,1,TRUE
Global Project Management,Global Project Management,7,TRUE
Global Project Manager,Global Project Manager,1,TRUE
Global Trust Association,Global Trust Association,1,TRUE
Gmd,Gmd,2,TRUE
Gmd S.A.,Gmd,1,FALSE
Google,Google,27,TRUE
Google - Iab Spain (Interactive Advertising Bureau),Google,1,FALSE
Google Activate,Google,5,FALSE
Google Active,Google,1,FALSE
Google Career Certificates,Google,1,FALSE
Google Cloud Training - Coursera,Google,1,FALSE
Google.Inc,Google,2,FALSE
Grap Peru Sac,Grap Peru Sac,1,TRUE
Grupo Carso,Grupo Carso,14,TRUE
Grupo E Y K,Grupo E Y K,1,TRUE
Grupo Emprender,Grupo Emprender,2,TRUE
Grupo Idat,Instituto Superior Tecnologico Idat,1,FALSE
Grupo Lider World,Grupo Lider World,1,TRUE
Grupo Proyecta,Grupo Proyecta,1,TRUE
Grupo Romero,Grupo Romero,3,TRUE
Grupo San Ignacio De Loyola,Grupo San Ignacio De Loyola,1,TRUE
Grupo Sba,Grupo Sba,1,TRUE
Harvard Business School,Harvard Business School,1,TRUE
Harvard On Line,Harvard On Line,1,TRUE
Harvard University (Harvardx),Harvard University (Harvardx),1,TRUE
Harvard University (Ma),Harvard University (Harvardx),4,FALSE
Hekal,Hekal,1,TRUE
Herramientas De Gestion Protocolar,Herramientas De Gestion Protocolar,1,TRUE
High Service,High Service,2,TRUE
Holberton,Holberton School,1,FALSE
Holberton School,Holberton School,1,TRUE
Huawei,Huawei,1,TRUE
Hubspot Academy,Hubspot Academy,1,TRUE
Hult International Business School,Hult International Business School,1,TRUE
I.E.S.T.P Gilda Ballivian Rosado,I.E.S.T.P Gilda Ballivian Rosado,2,TRUE
I.S. T. Cibertec (Titulado),Instituto Cibertec,1,FALSE
I.S. T. P. Computronic,I.S. T. P. Computronic,1,TRUE
I.S.T. Abaco,Instituto De Educacion Superior Abaco,4,FALSE
I.S.T. Cesca,Instituto De Educacion Superior Tecnologico Cesca,1,FALSE
I.S.T. Mastertech,I.S.T. Mastertech,1,TRUE
I.S.T. Telesup,Instituto Telesup,1,FALSE
I.U De Tecnologia Y Administracion Industrial Iuta - Altos Mirandinos,Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),1,FALSE
I.U. De Tecnologia Americo Vespucio,I.U. De Tecnologia Americo Vespucio,1,TRUE
I.U. De Tecnologia De Administracion Industrial,Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),1,FALSE
I.U. De Tecnologia Pedro Emilio Coll,I.U. De Tecnologia Pedro Emilio Coll,1,TRUE
I.U. Politecnico Santiago Marino,Instituto Universitario Politecnico Santiago Marino,2,FALSE
Iab Spain,Iab Spain,3,TRUE
Iat (Sunat - Aduanas),Iat (Sunat - Aduanas),1,TRUE
Iberoamericano,Iberoamericano,1,TRUE
Ibm,Ibm,3,TRUE
Ibm Cognitive Class,Ibm,1,FALSE
Ibm Learning,Ibm,1,FALSE
Icam - Camara De Comercio De Lima,Icam - Camara De Comercio De Lima,2,TRUE
Ice School,Ice School,2,TRUE
Ici-Uni,Ici-Uni,1,TRUE
Icj,Icj,2,TRUE
Icpna,Instituto Cultural Peruano Norteamericano,13,FALSE
Icpna - Instituto Peruano Norteamericano,Instituto Cultural Peruano Norteamericano,1,FALSE
Idat,Instituto Superior Tecnologico Idat,111,FALSE
Iddea,Iddea,1,TRUE
Idec Vial,Idec Vial,1,TRUE
Ideou,Ideou,1,TRUE
Ie University,Ie University,1,TRUE
Iebs,Iebs,1,TRUE
Ieh,Ieh,1,TRUE
Iem Bussines School,Iem Bussines School,1,TRUE
Iep,Iep,1,TRUE
Ies Pradolongo,Ies Pradolongo,1,TRUE
Iese Business School,Iese Business School,1,TRUE
Iestp &Quot;Julio Cesar Tello&Quot;,Instituto Superior Tecnologico Julio Cesar Tello,1,FALSE
Iestpffaa,Iestpffaa,1,TRUE
Iestpj Julio C. Tello,Instituto Superior Tecnologico Julio Cesar Tello,1,FALSE
Ifb,Instituto De Formacion Bancaria Ifb,1,FALSE
Ifb Certus,Instituto De Formacion Bancaria Ifb,1,FALSE
Ilen,Ilen,2,TRUE
Ilen &Amp; Mentors International Inc.,Ilen,1,FALSE
Ilustre Colegio De Abogados De Lima - Cal,Ilustre Colegio De Abogados De Lima - Cal,1,TRUE
Impechi,Impechi,1,TRUE
Inagep,Inagep,1,TRUE
Incae Business School,Incae Business School,7,TRUE
Inception Consulting,Inception Consulting,6,TRUE
Inco Group Consulting,Inco Group Consulting,1,TRUE
Incodesoft,Incodesoft,1,TRUE
Indra,Indra,4,TRUE
Inei,Instituto Nacional De Estadistica E Informatica,1,FALSE
Ingenio Learnig,Ingenio Learning,1,FALSE
Ingenio Learning,Ingenio Learning,17,TRUE
Ingenium,Ingenium,1,TRUE
Inictel - Esutel,Inictel - Uni,1,FALSE
Inictel - Uni,Inictel - Uni,3,TRUE
Innovation Learning Center,Innovation Learning Center,1,TRUE
Innovaxiones,Innovaxiones,1,TRUE
Insituto Norbert Wiener,Insituto Norbert Wiener,1,TRUE
Inst Peruano De Computacion E Informatica Ipci,Inst Peruano De Computacion E Informatica Ipci,2,TRUE
Inst. De Ensenanza Sup. Del Ejercito Www.Iese.Edu.Ar,Inst. De Ensenanza Sup. Del Ejercito Www.Iese.Edu.Ar,1,TRUE
Inst. Desarrollo Humano,Inst. Desarrollo Humano,1,TRUE
Inst. Especializado En Gestion Agil De Proyectos,Inst. Especializado En Gestion Agil De Proyectos,1,TRUE
Inst. Latinoamericano De Cc.Ss.,Inst. Latinoamericano De Cc.Ss.,3,TRUE
Inst. San Ignacio De Monterrico Sidem,Inst. San Ignacio De Monterrico Sidem,1,TRUE
Institucion Privada Americano,Institucion Privada Americano,1,TRUE
Instituo Superior Tecnologico Cibertec,Instituto Cibertec,1,FALSE
Institut Superieur De La Logistique Et Du Transp,Institut Superieur De La Logistique Et Du Transp,2,TRUE
"Instituto ""Cimas""",Instituto Superior Tecnologico Cimas,1,FALSE
Instituto Adex,Instituto Adex,21,TRUE
Instituto Avansys - Grupo El Comercio,Instituto Cibertec,5,FALSE
Instituto Avanza De Formacion Y Desarrollo,Instituto Avanza De Formacion Y Desarrollo,1,TRUE
Instituto Centro Americano De Administracion De...,Instituto Centro Americano De Administracion De...,1,TRUE
Instituto Certus,Instituto De Educacion Superior Privado Certus,1,FALSE
Instituto Chaminade Marianistas,Instituto Chaminade Marianistas,1,TRUE
Instituto Cibertec,Instituto Cibertec,205,TRUE
Instituto Computrom,Instituto Superior Tecnologico Computrom,1,FALSE
Instituto Cultural Peruano Norteamericano,Instituto Cultural Peruano Norteamericano,33,TRUE
Instituto Cultural Peruano Norteamericano (A-09),Instituto Cultural Peruano Norteamericano,5,FALSE
Instituto Cultural Peruano Norteamericano (Ipcna),Instituto Cultural Peruano Norteamericano,1,FALSE
Instituto De Alta Tecnologia (Idat),Instituto Superior Tecnologico Idat,1,FALSE
Instituto De Alta Tecnologia Cibertec,Instituto Cibertec,2,FALSE
Instituto De Certificacion Sissertel,Instituto De Certificacion Sissertel,1,TRUE
Instituto De Ciencias Y Tecnologias,Instituto De Ciencias Y Tecnologias,2,TRUE
Instituto De Contadores Del Peru,Instituto De Contadores Del Peru,1,TRUE
Instituto De Direccion De Proyectos,Instituto De Direccion De Proyectos,1,TRUE
Instituto De Directivos De Empresa (Ide-Cesem),Instituto De Directivos De Empresa (Ide-Cesem),1,TRUE
Instituto De Educacion Superior Abaco,Instituto De Educacion Superior Abaco,1,TRUE
Instituto De Educacion Superior John Von Neumann,Instituto De Educacion Superior John Von Neumann,3,TRUE
Instituto De Educacion Superior Leonardo Da Vinci - Trujillo,Instituto De Educacion Superior Leonardo Da Vinci - Trujillo,1,TRUE
Instituto De Educacion Superior Privado Certus,Instituto De Educacion Superior Privado Certus,1,TRUE
Instituto De Educacion Superior Privado Nuestra Senora Del Carmen,Instituto De Educacion Superior Privado Nuestra Senora Del Carmen,1,TRUE
Instituto De Educacion Superior Tecnologica Y Pedagogica Cima,Instituto De Educacion Superior Tecnologica Y Pedagogica Cima,3,TRUE
Instituto De Educacion Superior Tecnologico Cesca,Instituto De Educacion Superior Tecnologico Cesca,1,TRUE
Instituto De Educacion Superior Tecnologico Pub...,Instituto De Educacion Superior Tecnologico Pub...,1,TRUE
Instituto De Educacion Superior Tecnologico Simon Bolivar,Instituto De Educacion Superior Tecnologico Simon Bolivar,1,TRUE
Instituto De Emprendedores - Usil,Instituto De Emprendedores - Usil,1,TRUE
Instituto De Empresa,Instituto De Empresa,2,TRUE
Instituto De Estudios Bursatiles De Madrid,Instituto De Estudios Bursatiles De Madrid,1,TRUE
Instituto De Estudios Europeos,Instituto De Estudios Europeos,1,TRUE
Instituto De Formacion Bancaria Ifb,Instituto De Formacion Bancaria Ifb,28,TRUE
Instituto De Formacion Empresarial - Ife,Instituto De Formacion Empresarial - Ife,1,TRUE
Instituto De Idiomas De La Universidad Catolica,Instituto De Idiomas De La Universidad Catolica,11,TRUE
Instituto De Idiomas Peruano - Britanico,Asociacion Cultural Peruano Britanica,1,FALSE
Instituto De La Calidad Pucp,Instituto Para La Calidad - Pucp,1,FALSE
Instituto De Secretariado Ela,Instituto De Secretariado Ela,1,TRUE
Instituto De Seguridad Minera - Isem,Instituto De Seguridad Minera - Isem,2,TRUE
Instituto Del Sur,Instituto Del Sur (Arequipa),1,FALSE
Instituto Del Sur (Arequipa),Instituto Del Sur (Arequipa),3,TRUE
Instituto Educacion Superior Tecnologico Oyon,Instituto Educacion Superior Tecnologico Oyon,1,TRUE
Instituto Eiger,Instituto Eiger,2,TRUE
Instituto Especializado Gesap,Instituto Especializado Gesap,2,TRUE
Instituto Estadistico,Instituto Estadistico,6,TRUE
Instituto Euroidiomas,Instituto Euroidiomas,1,TRUE
Instituto Europeo De Posgrado,Instituto Europeo De Posgrado,9,TRUE
Instituto Europeo De Posgrado Iep,Instituto Europeo De Posgrado,1,FALSE
Instituto Europeo De Posgrado-Online,Instituto Europeo De Posgrado,1,FALSE
Instituto Europeo De Postgrado,Instituto Europeo De Posgrado,4,FALSE
Instituto Excelencia Humana,Instituto Excelencia Humana,1,TRUE
Instituto Excelente Humana,Instituto Excelencia Humana,1,FALSE
Instituto Gamor,Instituto Gamor,1,TRUE
Instituto Genova,Instituto Genova,1,TRUE
Instituto Gesap,Instituto Gesap,11,TRUE
Instituto Hegel,Instituto Hegel,1,TRUE
"Instituto Ingles ""Icpna",Instituto Cultural Peruano Norteamericano,1,FALSE
Instituto Interamericano De Alta Asesoria Empresarial,Instituto Interamericano De Alta Asesoria Empresarial,1,TRUE
Instituto Interamericano Para El Desarrollo,Instituto Interamericano Para El Desarrollo,1,TRUE
Instituto Latinoamericano De Empresas Y Negocios,Instituto Latinoamericano De Empresas Y Negocios,2,TRUE
Instituto Leo Design,Instituto Leo Design,5,TRUE
Instituto Metropolitano,Instituto Metropolitano,1,TRUE
Instituto Nacional De Estadistica E Informatica,Instituto Nacional De Estadistica E Informatica,2,TRUE
Instituto Nacional De Investigacion Forense,Instituto Nacional De Investigacion Forense,1,TRUE
Instituto Nacional De Investigacion Y Capacitacion De Telecomunicaciones - Inictel,Instituto Nacional De Investigacion Y Capacitacion De Telecomunicaciones - Inictel,7,TRUE
Instituto Norbert Wiener,Instituto Norbert Wiener,1,TRUE
Instituto Para El Desarrollo Empresarial Y Administrativo - Idea,Instituto Para El Desarrollo Empresarial Y Administrativo - Idea,3,TRUE
Instituto Para La Calidad - Pucp,Instituto Para La Calidad - Pucp,1,TRUE
Instituto Para La Calidad Pucp,Instituto Para La Calidad - Pucp,2,FALSE
Instituto Particular Britanico,Asociacion Cultural Peruano Britanica,1,FALSE
Instituto Paul Muller,Instituto Superior Paul Muller,2,FALSE
Instituto Peruano De Accion Empresarial - Ipae,Instituto Peruano De Accion Empresarial - Ipae,1,TRUE
Instituto Peruano De Administracion De Empresas - Ipae,Instituto Peruano De Accion Empresarial - Ipae,13,FALSE
Instituto Peruano De Gobierno - Ipeg,Instituto Peruano De Gobierno - Ipeg,1,TRUE
Instituto Peruano De Negocios,Instituto Peruano De Negocios,1,TRUE
Instituto Peruano De Publicidad - Ipp,Instituto Peruano De Publicidad - Ipp,4,TRUE
Instituto Peruano De Seguro,Instituto Peruano De Seguro,1,TRUE
Instituto Peruano De Seguros,Instituto Peruano De Seguros,2,TRUE
Instituto Pm Certifica,Pm Certifica,1,FALSE
Instituto Raul Scalabrini Ortiz,Instituto Raul Scalabrini Ortiz,1,TRUE
Instituto Ricardo Palma,Instituto Ricardo Palma,2,TRUE
Instituto San Ignacio De La Loyola,Instituto San Ignacio De Loyola,2,FALSE
Instituto San Ignacio De Loyola,Instituto San Ignacio De Loyola,9,TRUE
Instituto San Ignacio De Loyola - Isil,Instituto San Ignacio De Loyola,2,FALSE
Instituto San Ignacio De Loyola (Isil),Instituto San Ignacio De Loyola,1,FALSE
Instituto San Ingnacio De Loyola,Instituto San Ignacio De Loyola,1,FALSE
Instituto Sencico,Instituto Sencico,1,TRUE
Instituto Sise,Instituto Superior Sise,2,FALSE
Instituto Sistemas Del Sur,Instituto Sistemas Del Sur,1,TRUE
Instituto Superior Cibertec,Instituto Cibertec,1,FALSE
Instituto Superior De Comunicacion Y Diseno Toulouse Lautrec,Instituto Superior De Comunicacion Y Diseno Toulouse Lautrec,30,TRUE
Instituto Superior Juan Xxiii,Instituto Superior Juan Xxiii,1,TRUE
Instituto Superior Paul Muller,Instituto Superior Paul Muller,1,TRUE
Instituto Superior Pedagogico Publico Nuestra Senora De Lourdes,Instituto Superior Pedagogico Publico Nuestra Senora De Lourdes,1,TRUE
Instituto Superior Peruano Aleman - Ipal,Instituto Superior Peruano Aleman - Ipal,2,TRUE
Instituto Superior Privado Cibertec,Instituto Cibertec,1,FALSE
Instituto Superior Sise,Instituto Superior Sise,68,TRUE
"Instituto Superior Tecnologico ""Cepea""","Instituto Superior Tecnologico ""Cepea""",1,TRUE
"Instituto Superior Tecnologico ""Sise""",Instituto Superior Sise,1,FALSE
Instituto Superior Tecnologico Almirante Miguel Grau,Instituto Superior Tecnologico Almirante Miguel Grau,1,TRUE
Instituto Superior Tecnologico Araoz Pinto,Instituto Superior Tecnologico Araoz Pinto,1,TRUE
Instituto Superior Tecnologico Carlos Cueto Fernandini,Instituto Superior Tecnologico Carlos Cueto Fernandini,1,TRUE
Instituto Superior Tecnologico Cesca,Instituto De Educacion Superior Tecnologico Cesca,1,FALSE
Instituto Superior Tecnologico Cevatec,Instituto Superior Tecnologico Cevatec,1,TRUE
Instituto Superior Tecnologico Cimas,Instituto Superior Tecnologico Cimas,2,TRUE
Instituto Superior Tecnologico Columbia,Instituto Superior Tecnologico Columbia,2,TRUE
Instituto Superior Tecnologico Computrom,Instituto Superior Tecnologico Computrom,1,TRUE
Instituto Superior Tecnologico Continental,Instituto Superior Tecnologico Continental,3,TRUE
Instituto Superior Tecnologico De Comercio Exte...,Instituto Superior Tecnologico De Comercio Exte...,1,TRUE
Instituto Superior Tecnologico Idat,Instituto Superior Tecnologico Idat,5,TRUE
Instituto Superior Tecnologico J. Prado,Instituto Superior Tecnologico J. Prado,1,TRUE
Instituto Superior Tecnologico Julio Cesar Tello,Instituto Superior Tecnologico Julio Cesar Tello,1,TRUE
Instituto Superior Tecnologico Manuel Seoane Corrales,Instituto Superior Tecnologico Manuel Seoane Corrales,1,TRUE
Instituto Superior Tecnologico Metropolitano,Instituto Superior Tecnologico Metropolitano,2,TRUE
Instituto Superior Tecnologico Privado Cibertec,Instituto Cibertec,1,FALSE
Instituto Superior Tecnologico Privado Khipu,Instituto Superior Tecnologico Privado Khipu,1,TRUE
Instituto Superior Tecnologico Publico Argentina,Instituto Superior Tecnologico Publico Argentina,1,TRUE
Instituto Superior Tecnologico Publico Jose Pardo,Instituto Superior Tecnologico Publico Jose Pardo,1,TRUE
Instituto Superior Tecnologico Wernher Von Braun,Instituto Superior Tecnologico Wernher Von Braun,1,TRUE
Instituto Superios Tecnologico Abaco,Instituto De Educacion Superior Abaco,3,FALSE
Instituto Superiro Tecnologico Chincha,Instituto Superiro Tecnologico Chincha,1,TRUE
Instituto Tecnologico Del Norte,Instituto Tecnologico Del Norte,7,TRUE
Instituto Tecnologico Idat,Instituto Superior Tecnologico Idat,2,FALSE
"Instituto Tecnologico Lourtec, C.A.","Instituto Tecnologico Lourtec, C.A.",1,TRUE
Instituto Tecnologico Y De Estudios Superiores De Monterrey,Instituto Tecnologico Y De Estudios Superiores De Monterrey,17,TRUE
Instituto Telesup,Instituto Telesup,1,TRUE
Instituto Universitario Carlos Soublette,Instituto Universitario Carlos Soublette,1,TRUE
Instituto Universitario De Gerencia Y Tecnologia,Instituto Universitario De Gerencia Y Tecnologia,2,TRUE
Instituto Universitario De Nuevas Profesiones,Instituto Universitario De Nuevas Profesiones,1,TRUE
Instituto Universitario De Tecnologia Antonio Jose De Sucre,Instituto Universitario De Tecnologia Antonio Jose De Sucre,1,TRUE
Instituto Universitario De Tecnologia De Administracion Industrial,Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),1,FALSE
Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),6,TRUE
Instituto Universitario De Tecnologia De Los Llanos,Instituto Universitario De Tecnologia De Los Llanos,1,TRUE
Instituto Universitario De Tecnologia Industrial Rodolfo Loero Arismendi,Instituto Universitario De Tecnologia Industrial Rodolfo Loero Arismendi,4,TRUE
Instituto Universitario De Tecnologia Pedro Emilio Coll,Instituto Universitario De Tecnologia Pedro Emilio Coll,1,TRUE
Instituto Universitario Insular,Instituto Universitario Insular,1,TRUE
Instituto Universitario Jesus Obrero,Instituto Universitario Jesus Obrero,1,TRUE
Instituto Universitario Politecnico Santiago Marino,Instituto Universitario Politecnico Santiago Marino,3,TRUE
Instituto Ziegel,Instituto Peruano De Accion Empresarial - Ipae,1,FALSE
Inteci - Instituto De Profesiones Empresariales,Inteci - Instituto De Profesiones Empresariales,3,TRUE
Intelica Corp,Intelica Corp,1,TRUE
Interaction Design Foudation,Interaction Design Foudation,2,TRUE
Interactive Advertising Bureau,Interactive Advertising Bureau,1,TRUE
Interactive Advertising Bureau (Iab Espana),Interactive Advertising Bureau,1,FALSE
International Business School,International Business School,1,TRUE
International Scrum Institute,International Scrum Institute,1,TRUE
International Scrum Instituted,International Scrum Institute,2,FALSE
International Software Testing Qualifications Board,International Software Testing Qualifications Board,1,TRUE
Inttelmex It,Inttelmex It,5,TRUE
Ipad - Instituto Peruano De Arte Y Diseno,Ipad - Instituto Peruano De Arte Y Diseno,5,TRUE
Ipae,Instituto Peruano De Accion Empresarial - Ipae,23,FALSE
Ipae -Instituto Peruano De Accion Empresarial,Instituto Peruano De Accion Empresarial - Ipae,48,FALSE
Ipal,Instituto Superior Peruano Aleman - Ipal,2,FALSE
Ipappg,Ipappg,2,TRUE
Ipm - Instituto Peruano De Marketing,Ipm - Instituto Peruano De Marketing,20,TRUE
Isaac Newton,Isaac Newton,1,TRUE
Isat,Isat,1,TRUE
Isead,Isead,1,TRUE
Isec Peru,Isec Peru,1,TRUE
Isil,Instituto San Ignacio De Loyola,168,FALSE
"Isil Tech, Instituto San Ignacio De Loyola",Instituto San Ignacio De Loyola,1,FALSE
Isl Libertador,Isl Libertador,1,TRUE
Ist El Buen Pastor,Ist El Buen Pastor,2,TRUE
Ist Gilda Ballivian Rosado,Ist Gilda Ballivian Rosado,1,TRUE
Ist Poussin,Ist Poussin,1,TRUE
Ist Sise,Instituto Superior Sise,1,FALSE
Istituto Europeo Di Design,Istituto Europeo Di Design,1,TRUE
Istp Julio Cesar Tello,Instituto Superior Tecnologico Julio Cesar Tello,1,FALSE
Istp Maria Rosario Araoz Pinto,Istp Maria Rosario Araoz Pinto,1,TRUE
Istp Modern Systems,Istp Modern Systems,2,TRUE
Istp Paul Muller,Instituto Superior Paul Muller,1,FALSE
Istp-Julio Cesar Tello,Instituto Superior Tecnologico Julio Cesar Tello,2,FALSE
Istqb,Istqb(R) - International Software Testing Qualifications Board,8,FALSE
Istqb (R),Istqb(R) - International Software Testing Qualifications Board,1,FALSE
Istqb(R) - International Software Testing Qualifications Board,Istqb(R) - International Software Testing Qualifications Board,2,TRUE
It Systems,It Systems,1,TRUE
Itae,Itae Business School,1,FALSE
Itae Business School,Itae Business School,1,TRUE
Itera Business It&Amp;Process,Itera Business It&Amp;Process,2,TRUE
Itsk,Itsk,1,TRUE
Itsystems,It Systems,2,FALSE
Itsystems Systems,It Systems,1,FALSE
Iup Santiago Marino.,Instituto Universitario Politecnico Santiago Marino,1,FALSE
J &Amp; J Data Mining Consulting,J &Amp; J Data Mining Consulting,1,TRUE
Jaime Figari ( Capitan De Aduanas- Sunat),Jaime Figari ( Capitan De Aduanas- Sunat),2,TRUE
Jamming,Jamming,1,TRUE
Jb Enteprise Group,Jb Enterprise Group,1,FALSE
Jb Enterprice Group,Jb Enterprise Group,1,FALSE
Jb Enterprise,Jb Enterprise Group,1,FALSE
Jb Enterprise Group,Jb Enterprise Group,16,TRUE
Jb Group,Jb Enterprise Group,1,FALSE
Jb Group Enterprise,Jb Enterprise Group,1,FALSE
Jhons Hopkins University | Coursera,Jhons Hopkins University | Coursera,1,TRUE
Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,2,FALSE
Junin Satipo,Junin Satipo,1,TRUE
Kaits Consulting,Kaits Consulting,1,TRUE
Kaizen Certification,Kaizen Certification,2,TRUE
Kali Networks,Kali Networks,1,TRUE
Kanban University,Kanban University,2,TRUE
Kbsoluciones,Kbsoluciones,1,TRUE
Kookmin University,Kookmin University,1,TRUE
Kunak Consulting,Kunak Consulting,1,TRUE
Kurios,Kurios,1,TRUE
Kyocera Document Solutions,Kyocera Document Solutions,2,TRUE
La Calle - Escuela Creativa,La Calle - Escuela Creativa,1,TRUE
La Salle,Universidad La Salle De Barcelona,1,FALSE
La Salle - Universidad Ramon Llull,Universidad La Salle De Barcelona,3,FALSE
La Salle Barcelona - Ramon Llull,Universidad La Salle De Barcelona,2,FALSE
Laboratoria,Laboratoria,5,TRUE
Las Vegas Usa,Las Vegas Usa,1,TRUE
Latfar,Latfar,1,TRUE
Laureate International Universities,Laureate International Universities,2,TRUE
Ld Grupo,Ld Grupo,1,TRUE
Le Cordon Bleu Peru,Universidad Le Cordon Bleu,1,FALSE
Leaders Training Group,Leaders Training Group,1,TRUE
Lean Six Sigma Institute,Lean Six Sigma Institute,1,TRUE
Learning,Learning,1,TRUE
Learning Business Partner,Learning Business Partner,1,TRUE
Levo Learning Center,Levo Learning Center,2,TRUE
Liberate,Liberate,1,TRUE
Licencias On Line,Licencias On Line,1,TRUE
Lima,Lima Institute Of Technical Studies,1,FALSE
Lima Institute Of Technical Studies,Lima Institute Of Technical Studies,1,TRUE
Linkedin,Linkedin Learning,6,FALSE
Linkedin In Learning,Linkedin Learning,1,FALSE
Linkedin Learning,Linkedin Learning,4,TRUE
Lloyd'S Register Quality Assurance,Lloyd'S Register Quality Assurance,1,TRUE
Lourtec,Lourtec,1,TRUE
Lp &Amp; Asociados,Lp &Amp; Asociados,1,TRUE
Ludus,Ludus,1,TRUE
Make It Real,Make It Real,1,TRUE
Mali,Mali,4,TRUE
Mambo,Mambo,1,TRUE
Management 3.0,Management 3.0,1,TRUE
Mannovation Consulting,Mannovation Consulting,2,TRUE
Manuel Arevalo Caceres,Manuel Arevalo Caceres,1,TRUE
Manuel Seoane Corrales,Instituto Superior Tecnologico Manuel Seoane Corrales,1,FALSE
Marcelino Champagnat,Universidad Marcelino Champagnat,1,FALSE
Maria De Los Angeles,Maria De Los Angeles,1,TRUE
Maria Rosario Araoz Pinto,Istp Maria Rosario Araoz Pinto,1,FALSE
Marketeate Escuela,Marketeate Escuela,1,TRUE
Mas Ventas Training &Amp; Consulting,Mas Ventas Training &Amp; Consulting,1,TRUE
Massachusetts Inst. Of Technology,Massachusetts Institute Of Technology,8,FALSE
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,1,TRUE
Master En Transformacion Digital Y Desarrollo De Negocio,Master En Transformacion Digital Y Desarrollo De Negocio,1,TRUE
Master Group,Master Group,1,TRUE
Mbs Montpellier Business School,Mbs Montpellier Business School,1,TRUE
Mcp,Mcp,5,TRUE
Mejorando.La,Mejorando.La,2,TRUE
Metodologia Online,Metodologia Online,1,TRUE
Mg Digital Recruiting,Mg Digital Recruiting,1,TRUE
Miami Ad School Lima,Miami Ad School Lima,1,TRUE
Microsoft,Microsoft,18,TRUE
Microsoft - Edx,Microsoft,1,FALSE
Microsoft - Learning,Microsoft,1,FALSE
Microsoft Learn,Microsoft,2,FALSE
Microsoft Partner University,Microsoft,3,FALSE
Mik Consulting,Mik Consulting,1,TRUE
Mile Sec,Mile Sec,1,TRUE
Mimp,Mimp,1,TRUE
Ministerio De La Defensa,Ministerio De La Defensa,3,TRUE
Ministerio De Transporte,Ministerio De Transporte,1,TRUE
Miriada X,Miriadax - Fundacion Telefonica,1,FALSE
Miriadax,Miriadax - Fundacion Telefonica,1,FALSE
Miriadax - Fundacion Telefonica,Miriadax - Fundacion Telefonica,1,TRUE
Mit Professional Education,Mit Professional Education,3,TRUE
Mit Sloan School Of Management,Mit Sloan School Of Management,1,TRUE
Mitocode,Mitocode Network,7,FALSE
Mitocode Network,Mitocode Network,1,TRUE
Mitso,Mitso,1,TRUE
Mitx,Mitx On Edx,1,FALSE
Mitx On Edx,Mitx On Edx,2,TRUE
Mmj Smart Electronics,Mmj Smart Electronics,1,TRUE
Mott,Mott Centro De Especializacion Digital,5,FALSE
Mott - Escuela Creativa Digital,Mott Centro De Especializacion Digital,1,FALSE
Mott Centro De Especializacion,Mott Centro De Especializacion Digital,1,FALSE
Mott Centro De Especializacion Digital,Mott Centro De Especializacion Digital,3,TRUE
Municipalidad De Lima,Municipalidad De Lima,1,TRUE
Neetwork Business School,Neetwork Business School,1,TRUE
Negocios Internacionales,Negocios Internacionales,1,TRUE
Negzy,Negzy,2,TRUE
Netcomp,Netcomp,1,TRUE
Netec,Netec,10,TRUE
Netxpress,Netxpress,1,TRUE
Netzun,Netzun,9,TRUE
Neumann Business School,Neumann Business School,2,TRUE
New Horihorizons,New Horizons,1,FALSE
New Horizon,New Horizons,9,FALSE
New Horizons,New Horizons,65,TRUE
"New Horizons Computer Learning Centers, Inc.",New Horizons,1,FALSE
New Horizons Del Peru.,New Horizons,2,FALSE
New Horizons Institut,New Horizons,1,FALSE
New Horizons Lima,New Horizons,1,FALSE
New Horizons Peru,New Horizons,4,FALSE
New Horizont,New Horizons,2,FALSE
