lastWorkCenter,equivalence,count,equals
Cartones Del Pacifico,Cartones Del Pacifico S.A.C.,3,FALSE
Cartones Del Pacifico S.A.C.,Cartones Del Pacifico S.A.C.,1,TRUE
Carvajal S.A.,Carvajal S.A.,1,TRUE
Casa Andina,Casa Andina Hoteles,3,FALSE
Casa Andina Hoteles,Casa Andina Hoteles,1,TRUE
Casaideas,Casaideas,1,TRUE
Casas Consulting Group Sac,Casas Consulting Group Sac,1,TRUE
Casuarinas International College,Casuarinas International College,1,TRUE
Cataliz Talent Lab,Cataliz Talent Lab,1,TRUE
Catalogo Jolie,Catalogo Jolie,2,TRUE
Cayman S.A.C,Cayman S.A.C,1,TRUE
Cbre Servicies - Mondelez,Cbre Servicies - Mondelez,1,TRUE
Ccti Ceneam,Ccti Ceneam,1,TRUE
Cdrav,Cdrav,1,TRUE
Ceba Sofia,Ceba Sofia,1,TRUE
"Cebe ""San Martin De Porres""","Cebe ""San Martin De Porres""",1,TRUE
Cedice Peru,Cedice Peru,1,TRUE
Ceelimp Group Sac,Ceelimp Group Sac,1,TRUE
Cefin Academy,Cefin Academy,1,TRUE
Celer,Celer Sac,2,FALSE
Celer Sac,Celer Sac,2,TRUE
Celer Tecnology,Celer Sac,2,FALSE
Celeritech,Celeritech,1,TRUE
Celerity Sociedad Anonima Cerrada,Celerity Sociedad Anonima Cerrada,1,TRUE
Celid,Celid,1,TRUE
Celima S.A.,Celima S.A.,1,TRUE
Celsa S.A,Celsa S.A,1,TRUE
Celsat Peru,Celsat Peru,1,TRUE
Celucorp,Celucorp,1,TRUE
Cementos Pacasmayo,Cementos Pacasmayo,1,TRUE
Cencosud,Cencosud Retail S.A.,5,FALSE
Cencosud Retail Peru,Cencosud Retail S.A.,1,FALSE
Cencosud Retail Peru S.A. Tiendas Paris,Cencosud Retail S.A.,1,FALSE
Cencosud Retail S.A.,Cencosud Retail S.A.,1,TRUE
Cens,Cens,1,TRUE
Centria,Centria - Csc Grupo Breca,1,FALSE
Centria - Csc Grupo Breca,Centria - Csc Grupo Breca,3,TRUE
Centro Comunitario - Manchay,Centro Comunitario - Manchay,1,TRUE
Centro Cultural Musa,Centro Cultural Musa,1,TRUE
Centro De Altos Estudios De Negocios Y Economia,Centro De Altos Estudios De Negocios Y Economia,1,TRUE
Centro De Altos Estudios Nacionales,Centro De Altos Estudios Nacionales,1,TRUE
Centro De Gestion Del Talento Humano,Centro De Gestion Del Talento Humano,2,TRUE
Centro De Innovacion Y Desarrollo Emprendedor Pucp,Centro De Innovacion Y Desarrollo Emprendedor Pucp,1,TRUE
Centro De Negocios Ryg,Centro De Negocios Ryg,1,TRUE
Centro De Salud Mental Comunitario Veintiseis De Octubre,Centro De Salud Mental Comunitario Veintiseis De Octubre,1,TRUE
Centro De Salud Mirones,Centro De Salud Mirones,1,TRUE
Centro De Salud Pueblo Nuevo,Centro De Salud Pueblo Nuevo,1,TRUE
Centro De Sistemas Y Negocios S.A. - Grupo Gloria,Centro De Sistemas Y Negocios S.A. - Grupo Gloria,1,TRUE
Centro De Sistemas Y Negocios S.A. (Grupo Gloria),Centro De Sistemas Y Negocios S.A. - Grupo Gloria,1,FALSE
Centro De Sistemas Y Negocios Sa,Centro De Sistemas Y Negocios S.A. - Grupo Gloria,1,FALSE
Centro Especializado De Formacion E-Learning,Centro Especializado De Formacion E-Learning,1,TRUE
Centro Nacional De Servicios,Centro Nacional De Servicios,4,TRUE
Centro Nacional De Servicios - Cns,Centro Nacional De Servicios - Cns,2,TRUE
Centro Psicoterapeutico De Relaciones Familiares - Redes,Centro Psicoterapeutico De Relaciones Familiares - Redes,1,TRUE
Centro Tecnologico Minero,Centro Tecnologico Minero,1,TRUE
Centrum Pucp,Centrum Pucp,2,TRUE
Centrum Pupc,Centrum Pucp,1,FALSE
Century 21,Century 21,1,TRUE
Century21,Century 21,1,FALSE
Ceo Cep Peruano Chino Diez De Octubre,Ceo Cep Peruano Chino Diez De Octubre,2,TRUE
Ceol Technology Sac,Ceol Technology Sac,1,TRUE
Cep Pedro Ruiz Gallo,Cep Pedro Ruiz Gallo,1,TRUE
Cepesju,Cepesju,1,TRUE
Cepheid S.A.C,Cepheid S.A.C,1,TRUE
Cer / Grupo Gea,Cer / Grupo Gea,1,TRUE
Ceragon Networks,Ceragon Networks,1,TRUE
Ceramica Lima Sa,Celima S.A.,1,FALSE
Ceramicas San Lorenzo,Ceramicas San Lorenzo,1,TRUE
Cerper Sa,Cerper Sa,1,TRUE
Certero,Certero S.A.C.,6,FALSE
Certero S.A.C.,Certero S.A.C.,1,TRUE
Certicom,Certicom Sac,1,FALSE
Certicom Lima,Certicom Sac,1,FALSE
Certicom Sac,Certicom Sac,1,TRUE
Certificaciones Del Peru S.A.,Certificaciones Del Peru S.A.,2,TRUE
Certus,Certus,5,TRUE
Cesar Vallejo Sac,Cesar Vallejo Sac,1,TRUE
Cesca,Cesca,1,TRUE
Cesel Ingenieros S.A.,Cesel Ingenieros S.A.,1,TRUE
Cesti Sa,Cesti Sa,1,TRUE
Ceti,Ceti,1,TRUE
Ceyca Servicios Generales Y Construccion Sac,Ceyca Servicios Generales Y Construccion Sac,1,TRUE
Cfg-Copeinca,Cfg-Copeinca S.A.C,1,FALSE
Cfg-Copeinca S.A.C,Cfg-Copeinca S.A.C,1,TRUE
Cfin Transunion,Cfin Transunion,2,TRUE
Chain Services Ti S.A.C - Csti,Chain Services Ti S.A.C. - Csti,2,FALSE
Chain Services Ti S.A.C. - Csti,Chain Services Ti S.A.C. - Csti,2,TRUE
Chasqui Ii,Chasqui Ii,1,TRUE
China Internacional Water And Electric Corp Peru,China Internacional Water And Electric Corp Peru,1,TRUE
China Railway International Group,China Railway International Group,1,TRUE
China Yang Zu,China Yang Zu,1,TRUE
Chio Lecca Fashion,Chio Lecca Fashion,2,TRUE
Chocavento Sa,Chocavento Sa,1,TRUE
Choucair Testing,Choucair Testing,1,TRUE
Chubb Peru S.A.,Chubb Seguros Peru S.A.,1,FALSE
Chubb Seguros Peru S.A.,Chubb Seguros Peru S.A.,1,TRUE
Ci&Amp;Ts,Ci&Amp;Ts,1,TRUE
Cia De Seguridad Prosegur,Cia De Seguridad Prosegur,2,TRUE
Cia Minas Buenaventura,Cia Minas Buenaventura,1,TRUE
Cia Minera Antamina S.A.,Cia Minera Antamina S.A.,1,TRUE
Cia Minera Kolpa S. A.,Cia Minera Kolpa S. A.,1,TRUE
Cia Minera Plata Dorada S.A.,Cia Minera Plata Dorada S.A.,1,TRUE
Cia Minera Raura,Cia Minera Raura,1,TRUE
Cia. Importadora Derteano &Amp; Stucker S.A.C,Cia. Importadora Derteano &Amp; Stucker S.A.C,1,TRUE
Ciber Servicios Informaticos,Ciber Servicios Informaticos,1,TRUE
Cibernos Peru Sac,Cibernos Peru Sac,3,TRUE
Ciberseguridad Sac,Ciberseguridad Sac,1,TRUE
Cibertec,Cibertec Peru S.A.C,4,FALSE
Cibertec Peru S.A.C,Cibertec Peru S.A.C,2,TRUE
Cibertec Peru Sac,Cibertec Peru S.A.C,1,FALSE
Ciberyolanda,Ciberyolanda,1,TRUE
Cicsa Peru Sac,Cicsa Peru Sac.,1,FALSE
Cicsa Peru Sac.,Cicsa Peru Sac.,1,TRUE
Cignium Technology,Cignium Technology,2,TRUE
Cima Software,Cima Software,1,TRUE
Cimacom,Cimacom,3,TRUE
Cimacom Data,Cimacom Data,1,TRUE
Cimacom Tecnology (Mapfre Seguros),Cimacom Tecnology (Mapfre Seguros),1,TRUE
Cimacom Voice S.A.C.,Cimacom Voice S.A.C.,1,TRUE
Cime Ingenieros Srl,Cime Ingenieros Srl,2,TRUE
Cineplanet,Cineplanet,3,TRUE
Cinte - Cliente Ibm - Claro,Cinte - Cliente Ibm - Claro,1,TRUE
Cinte - Ibm - Banco De Credito,Cinte-Ibm-Banco De Credito,2,FALSE
Cinte-Ibm-Banco De Credito,Cinte-Ibm-Banco De Credito,3,TRUE
Cioff Juvenil Peru,Cioff Juvenil Peru,1,TRUE
Cipsa,Cipsa,1,TRUE
Circuit Media Group,Circuit Media Group,1,TRUE
Citibank,Citibank,1,TRUE
Citric Studio,Citric Studio,1,TRUE
Civitano Sac,Civitano Sac,1,TRUE
Clai Payments,Clai Payments,1,TRUE
Claro,America Movil Peru S.A.C.,5,FALSE
Claro - America Movil,America Movil Peru S.A.C.,1,FALSE
Claro - Grupo America Movil,America Movil Peru S.A.C.,2,FALSE
Claro Movil,America Movil Peru S.A.C.,2,FALSE
Claro Peru,America Movil Peru S.A.C.,7,FALSE
Clases Particular,Clases Particular,1,TRUE
Clbs,Clbs S.A.C.,1,FALSE
Clbs S.A.C.,Clbs S.A.C.,1,TRUE
Clean Energy Services Del Peru,Clean Energy Services Del Peru,2,TRUE
Cleaning Clan,Cleaning Clan,1,TRUE
Cli Gestiones Aduaneras,Cli Gestiones Aduaneras,1,TRUE
Clickdelivery.Com,Clickdelivery.Com,1,TRUE
Clinica De La Belleza,Clinica De La Belleza,1,TRUE
Clinica Dental Santiago Apostol,Clinica Dental Santiago Apostol,1,TRUE
Clinica Good Hope,Clinica Good Hope,1,TRUE
Clinica Internacional,Clinica Internacional S.A,4,FALSE
Clinica Internacional S.A,Clinica Internacional S.A,2,TRUE
Clinica Jesus Del Norte,Clinica Jesus Del Norte,1,TRUE
Clinica Montefiori,Clinica Montefiori,1,TRUE
Clinica Ocupacional Work &Amp; Health,Clinica Ocupacional Work &Amp; Health,1,TRUE
Clinica Padre Luis Tezza,Clinica Padre Luis Tezza,1,TRUE
Clinica Ricardo Palma,Clinica Ricardo Palma,3,TRUE
Clinica San Borja - Sanna,Clinica San Borja - Sanna,2,TRUE
Clinica San Felipe,Clinica San Felipe,1,TRUE
Clinica San Gabriel,Clinica San Gabriel,1,TRUE
Clinica San Juan Bautista,Clinica San Juan Bautista,1,TRUE
Clinica San Juan De Dios,Clinica San Juan De Dios,2,TRUE
Clinica San Pablo - Surco,Clinica San Pablo S.A.C.,1,FALSE
Clinica San Pablo S.A.C.,Clinica San Pablo S.A.C.,8,TRUE
Clinica Stella Maris,Clinica Stella Maris,3,TRUE
Clinicas Limatambo,Clinicas Limatambo,1,TRUE
Clinicas Maison De Sante,Clinicas Maison De Sante,1,TRUE
Clininica Internacional S.A.,Clinica Internacional S.A,1,FALSE
Close2U,Close2U,1,TRUE
Cloud Business Services Sac,Cloud Business Services Sac,1,TRUE
Cloud Corp Sac,Cloud Corp Sac,1,TRUE
Cloud Creations Inc.,Cloud Creations Inc.,1,TRUE
"Cloud Security Alliance, Peru Chapter","Cloud Security Alliance, Peru Chapter",1,TRUE
"Cloudsoc, Empresa Colaboradora De Claro","Cloudsoc, Empresa Colaboradora De Claro",1,TRUE
Club Alianza Lima,Club Alianza Lima,2,TRUE
Club De Regatas Lima,Club De Regatas Lima,2,TRUE
Club Tenis Las Terrazas Miraflores,Club Tennis Las Terrazas Miraflores,1,FALSE
Club Tennis Las Terrazas Miraflores,Club Tennis Las Terrazas Miraflores,1,TRUE
Cluster And Business Solutions,Cluster And Business Solutions S.A.C.,1,FALSE
Cluster And Business Solutions S.A.C.,Cluster And Business Solutions S.A.C.,2,TRUE
Cmac Paita S.A.,Cmac Paita S.A.,1,TRUE
Cmacica,Cmacica,1,TRUE
Cmbrando Juntos,Cmbrando Juntos,1,TRUE
Cmc Latin Sac,Cmc Latin Sac,1,TRUE
Cmi Consulting Group S.A.C.,Cmi Consulting Group S.A.C.,1,TRUE
"Cmpc Packaging,","Cmpc Packaging,",1,TRUE
Cns,Cns,1,TRUE
Cobra Peru,Cobra Peru Sac,1,FALSE
Cobra Peru Sa,Cobra Peru Sac,1,FALSE
Cobra Peru Sac,Cobra Peru Sac,1,TRUE
Cobraperu,Cobra Peru Sac,1,FALSE
Codecon Ingenieria Y Construccion,Codecon Ingenieria Y Construccion,2,TRUE
Codelpa,Codelpa,1,TRUE
Codificacion Logica,Codificacion Logica,1,TRUE
Coes Sinac,Coes Sinac,1,TRUE
Coface,Coface,1,TRUE
Cofopri,Cofopri,2,TRUE
Cognidata Sac,Cognidata Sac,1,TRUE
Coinrefri Srl,Coinrefri Srl,1,TRUE
Colecta Sac,Colecta Sac,1,TRUE
"Colegio 7083 ""Manuel Gonzales Prada""","Colegio 7083 ""Manuel Gonzales Prada""",2,TRUE
Colegio De Ingenieros - Cdll,Colegio De Ingenieros Del Peru,3,FALSE
Colegio De Ingenieros Del Peru,Colegio De Ingenieros Del Peru,1,TRUE
Colegio Educandas Cusco,Colegio Educandas Cusco,1,TRUE
Colegio Ingenieros Del Peru,Colegio De Ingenieros Del Peru,2,FALSE
Colegio La Divina Misericordia,Colegio La Divina Misericordia,1,TRUE
Colegio Norteamericano Abraham Lincoln,Colegio Peruano Norteamericano Abraham Lincoln,1,FALSE
Colegio Peruano Norteamericano Abraham Lincoln,Colegio Peruano Norteamericano Abraham Lincoln,3,TRUE
Colegio Privado Heroes Del Cenepa,Colegio Privado Heroes Del Cenepa,1,TRUE
Colegio Saco Oliveros,Colegio Saco Oliveros,1,TRUE
Colegio Virgen Inmaculada De Monterrico,Colegio Virgen Inmaculada De Monterrico,1,TRUE
Colegios Peruanos S.A.,Colegios Peruanos S.A.,1,TRUE
Colegios Trilce,Colegios Trilce,1,TRUE
Colliers Rems Peru,Colliers Rems Peru,1,TRUE
Colmena Digital,Colmena Digital,1,TRUE
Coltur - Coltur Peruana De Turismo S.A.C.,Coltur - Coltur Peruana De Turismo S.A.C.,1,TRUE
Coltur Peruana De Turismo Sa,Coltur - Coltur Peruana De Turismo S.A.C.,1,FALSE
Com Alt De Prod No Trad Y Des En Lat Ame,Com Alt De Prod No Trad Y Des En Lat Ame,1,TRUE
Comacsa,Comacsa,1,TRUE
Comarch,Comarch Peru,1,FALSE
Comarch Peru,Comarch Peru,1,TRUE
Comcorp,Comcorp,1,TRUE
Comdata Group,Comdata Solutions S.A.C,7,FALSE
Comdata Solutions S.A.C,Comdata Solutions S.A.C,1,TRUE
Comercial Andina Industrial,Comercial Andina Industrial,1,TRUE
Comercial Denia S.A,Comercial Denia S.A.C,1,FALSE
Comercial Denia S.A.C,Comercial Denia S.A.C,1,TRUE
Comercial Industrial Delta,Comercial Industrial Delta,1,TRUE
Comercio Independiente,Comercio Independiente,1,TRUE
Comin Sac,Comin Sac,2,TRUE
Communications And Systems Development S.A.C.,Communications And Systems Development S.A.C.,1,TRUE
Compania De Minas Buenaventura,Cia Minas Buenaventura,1,FALSE
Compania De Seguridad Prosegur S.A.,Compania De Seguridad Prosegur S.A.,1,TRUE
Compania Food Retail S.A.C.,Compania Food Retail S.A.C.,1,TRUE
Compania Food Retail Sac,Compania Food Retail S.A.C.,1,FALSE
Compania Incubadora De Soluciones Moviles Sac - Culqi,Compania Incubadora De Soluciones Moviles Sac - Culqi,1,TRUE
Compania Minera Milpo Saa,Compania Minera Milpo Saa,3,TRUE
Compania Minera Miskimayo,Compania Minera Miskimayo,1,TRUE
Compania Minera Raura,Compania Minera Raura,1,TRUE
"Compania Peruana De Petroleo, Gas Y Gasolina","Compania Peruana De Petroleo, Gas Y Gasolina",1,TRUE
Compartamos Financiera,Compartamos Financiera,9,TRUE
Compipro,Compipro,1,TRUE
Complex Less,Complex Less,1,TRUE
Compudiskett S.R.L.,Compudiskett S.R.L.,1,TRUE
Compunet Peru S.A.C,Compunet Peru S.A.C,1,TRUE
Computer Science Vj - Ruc 10451083851,Computer Science Vj - Ruc 10451083851,1,TRUE
Comsatel Peru S.A.C.,Comsatel Peru S.A.C.,5,TRUE
Comsatel Peru Sac,Comsatel Peru S.A.C.,1,FALSE
Comsatel Sac,Comsatel Peru S.A.C.,1,FALSE
Comuna 24,Comuna 24,1,TRUE
Comunicate Facil Sac,Comunicate Facil Sac,2,TRUE
Conalvias Construcciones,Conalvias Construcciones,1,TRUE
Conastec,Conastec,1,TRUE
Concepto Belleza S.A.C.,Concepto Belleza S.A.C.,1,TRUE
Conexion Ts,Conexion Ts,1,TRUE
Coney Park,Coney Park,1,TRUE
Confecciones Gerard Srl,Confecciones Gerard Srl,1,TRUE
Confecciones Jm,Confecciones Jm,1,TRUE
Confecciones Textimax,Confecciones Textimax,1,TRUE
Conida,Conida,2,TRUE
Connectify Peru,Connectify Peru,1,TRUE
Connecttix,Connecttix,1,TRUE
Consigueventas,Consigueventas,1,TRUE
Consis International,Consis International,3,TRUE
Consolucion Sac,Consolucion Sac,1,TRUE
Consorcio Geohidraulica,Consorcio Geohidraulica,1,TRUE
Consorcio Hbo Sac,Consorcio Hbo Sac,1,TRUE
Consorcio Invent Sac,Consorcio Invent Sac,1,TRUE
Consorcio Lac,Consorcio Lac,1,TRUE
Consorcio Mantenimiento De Gasoductos Del Peru,Consorcio Mantenimiento De Gasoductos Del Peru,1,TRUE
Consorcio Minero Horizonte,Consorcio Minero Horizonte .S.A,1,FALSE
Consorcio Minero Horizonte .S.A,Consorcio Minero Horizonte .S.A,1,TRUE
Consorcio San Miguel,Consorcio San Miguel,1,TRUE
Consorcio Saneamiento Huarmey S.A.,Consorcio Saneamiento Huarmey S.A.,1,TRUE
Consorcio Tecnove Onp,Consorcio Tecnove Onp,1,TRUE
Conssap,Conssap,1,TRUE
Construction Evolution Sac,Construction Evolution Sac,1,TRUE
Constructor S.A.C.,Constructor S.A.C.,1,TRUE
Constructora De Servicios Multiples Ecosem E.I.R.L,Constructora De Servicios Multiples Ecosem E.I.R.L,2,TRUE
Constructora E Inmobiliaria Joshua,Constructora E Inmobiliaria Joshua,1,TRUE
Constructora E Inmobiliaria Marcan,Constructora E Inmobiliaria Marcan,1,TRUE
Constructora Inmobiliaria Wacaymar,Constructora Inmobiliaria Wacaymar,1,TRUE
Constructora Malaga Hnos S.A,Constructora Malaga Hnos S.A,1,TRUE
Constructora Mausaa S.A.,Constructora Mausaa S.A.,1,TRUE
Constructora Meneses,Constructora Meneses,1,TRUE
Constructora Montefrio Sac,Constructora Montefrio Sac,1,TRUE
Constructora P Y F Sac,Constructora P Y F Sac,1,TRUE
Constructora Pawer Sac,Constructora Pawer Sac,1,TRUE
Constructores Metal Mecanicos Cooptimet Srl,Constructores Metal Mecanicos Cooptimet Srl,1,TRUE
Constru-Express Peru,Constru-Express Peru,1,TRUE
Consuempresa,Consuempresa,1,TRUE
Consultance It,Consultance It,5,TRUE
Consultants In Business And Real Estate Peru S.A.,Consultants In Business And Real Estate Peru S.A.,2,TRUE
Consulting &Amp; Management Sac,Consulting &Amp; Management Sac,1,TRUE
Consulting Advisers,Consulting Advisers,1,TRUE
Consultor,Consultor,2,TRUE
Consultor De Proyectos E Ingenieria,Consultor De Proyectos E Ingenieria,1,TRUE
Consultor Estrategico,Consultor Estrategico,1,TRUE
Consultor Externo - Banco Cencosud,Consultor Externo - Banco Cencosud,1,TRUE
Consultor Freelance -Independiente,Freelance,1,FALSE
Consultor Independiente,Freelance,3,FALSE
Consultora Abogados Villanueva,Consultora Abogados Villanueva,3,TRUE
Consultora C&Amp;L,Consultora C&Amp;L,1,TRUE
Consultora Csc,Consultora Csc,1,TRUE
Consultora Hitss Peru,Global Hitss Peru S.A.C.,2,FALSE
Consultora Independiente,Freelance,2,FALSE
Consultora Materia Gris,Consultora Materia Gris,1,TRUE
Consultora Nuovo Profil,Consultora Nuovo Profil,1,TRUE
Consultora Y Equipadora Medica,Consultora Y Equipadora Medica,1,TRUE
Consultores En Tecnologia De Informacion Y Comunicaciones S.A.C,Consultores En Tecnologia De Informacion Y Comunicaciones S.A.C,1,TRUE
Consultoria,Freelance,4,FALSE
Consultoria A Empresas,Freelance,1,FALSE
Consultoria Data,Consultoria Data,1,TRUE
Consultoria General,Consultoria General,1,TRUE
Consultoria Independiente,Freelance,1,FALSE
Consultoria Mineria Y Comercio Sac,Consultoria Mineria Y Comercio Sac,1,TRUE
Consultoria Privada,Consultoria Privada,1,TRUE
Consultoria Ti,Consultoria Ti,1,TRUE
Consultoria Y Tecnologia Sac,Consultoria Y Tecnologia Sac,1,TRUE
Consultorio Dental Novadent,Consultorio Dental Novadent,1,TRUE
Consultorio Psicologico De La Unmsm,Consultorio Psicologico De La Unmsm,1,TRUE
Consultorio Psicologico Libera Y Sana,Consultorio Psicologico Libera Y Sana,1,TRUE
Consultorio Universitario,Consultorio Universitario,1,TRUE
Consumo Y Recomiendo Sac,Consumo Y Recomiendo Sac,2,TRUE
Consutic,Consutic,1,TRUE
Conta Peru Servicios Empresariales S.A.C.,Conta Peru Servicios Empresariales S.A.C.,1,TRUE
Contabilidad Facil Peru,Contabilidad Facil Peru,1,TRUE
Contacto Bpo,Contacto Bpo,1,TRUE
Contasiscorp Sac,Contasiscorp Sac,1,TRUE
Continental - Cuadernos Standford,Continental Sac - Standford,1,FALSE
Continental S.A.C,Continental Sac - Standford,1,FALSE
Continental Sac - Standford,Continental Sac - Standford,1,TRUE
Contraloria General De La Republica,Contraloria General De La Republica,1,TRUE
Contratistas Generales En Mineria Jh Sac,Contratistas Generales En Mineria Jh Sac,1,TRUE
Convexus Comunicaciones Redes Y Sistemas,Convexus Comunicaciones Redes Y Sistemas,1,TRUE
Conxultiva Digital S.A.C,Conxultiva Digital S.A.C,2,TRUE
Coolors,Coolors,1,TRUE
Coop. Santo Cristo De Bagazan,Coop. Santo Cristo De Bagazan,2,TRUE
Coopac Kori,Coopac Kori,1,TRUE
Cooperativa Abraham Lincoln,Cooperativa Abraham Lincoln,1,TRUE
Cooperativa De Ah. Y Cred. 29 De Agosto De La Pnp,Cooperativa De Ah. Y Cred. 29 De Agosto De La Pnp,3,TRUE
Cooperativa De Ahorro Y Credito 15 De Setiembre,Cooperativa De Ahorro Y Credito 15 De Setiembre,2,TRUE
Cooperativa De Ahorro Y Credito De Los Trabajadores De Ipss,Cooperativa De Ahorro Y Credito De Los Trabajadores De Ipss,2,TRUE
Cooperativa De Ahorro Y Credito Interfinco,Cooperativa De Ahorro Y Credito Interfinco,1,TRUE
Cooperativa De Ahorro Y Credito Leon Xiii,Cooperativa De Ahorro Y Credito Leon Xiii,1,TRUE
Cooperativa De Ahorro Y Creditos,Cooperativa De Ahorro Y Creditos,1,TRUE
Cooperativa De Ahorro Y Creditos San Miguel,Cooperativa De Ahorro Y Creditos San Miguel,2,TRUE
Cooperativa De Servicios Educacionales La Union,Cooperativa De Servicios Educacionales La Union,1,TRUE
Cooperativa Pacifico,Cooperativa Pacifico,1,TRUE
Coorporacion Daxi Ayacucho,Coorporacion Daxi Ayacucho,1,TRUE
Coorporacion Sapia,Corporacion Sapia S.A.,1,FALSE
Coorporacion Sapia (Cosapi Data),Corporacion Sapia S.A.,1,FALSE
Copeinca,Copeinca,1,TRUE
Copemi S.A.C Cosntructores,Copemi S.A.C Cosntructores,1,TRUE
Copezami Services,Copezami Services,1,TRUE
Corez Peru,Corez Peru,1,TRUE
Cork Peru Sa,Cork Peru Sa,1,TRUE
Coroimport,Coroimport,2,TRUE
Corpexpsac Soluciones,Corpexpsac Soluciones,2,TRUE
Corpol,Corpol Sa,1,FALSE
Corpol Sa,Corpol Sa,4,TRUE
Corporacion 1To1,Corporacion 1To1,2,TRUE
Corporacion Ambiental Alanco Peru Sac,Corporacion Ambiental Alanco Peru Sac,1,TRUE
Corporacion Asura,Corporacion Asura,2,TRUE
Corporacion Brec Sac (Ser Pro) Escuela Juridica,Corporacion Brec Sac (Ser Pro) Escuela Juridica,1,TRUE
Corporacion Corrales,Corporacion Corrales,1,TRUE
Corporacion Dctech,Corporacion Dctech,1,TRUE
Corporacion Educativa Pamer,Corporacion Educativa Pamer,1,TRUE
Corporacion Ew,Corporacion Ew,1,TRUE
Corporacion Fonafe,Corporacion Fonafe - Enaco S.A.,1,FALSE
Corporacion Fonafe - Enaco S.A.,Corporacion Fonafe - Enaco S.A.,5,TRUE
Corporacion Grafica Universal S.A.C,Corporacion Grafica Universal S.A.C,1,TRUE
Corporacion Hotelera Piura S.A.C,Corporacion Hotelera Piura S.A.C,1,TRUE
Corporacion Ibgroup,Corporacion Ibgroup,1,TRUE
Corporacion Jeruth,Corporacion Jeruth,3,TRUE
Corporacion Loayza Sac,Corporacion Loayza Sac,1,TRUE
Corporacion Meier,Corporacion Meier,3,TRUE
Corporacion New Life S&Amp;L,Corporacion New Life S&Amp;L,1,TRUE
Corporacion Olivares,Corporacion Olivares,1,TRUE
Corporacion Panaservice,Corporacion Panaservice S.A.C,1,FALSE
Corporacion Panaservice S.A.C,Corporacion Panaservice S.A.C,1,TRUE
Corporacion Rd Srl,Corporacion Rd Srl,1,TRUE
Corporacion Roots,Corporacion Roots S.A.,1,FALSE
Corporacion Roots S.A.,Corporacion Roots S.A.,1,TRUE
Corporacion Sapia,Corporacion Sapia S.A.,6,FALSE
Corporacion Sapia S.A.,Corporacion Sapia S.A.,5,TRUE
Corporacion Sealers,Corporacion Sealers,1,TRUE
Corporacion Sehover S.A.C.,Corporacion Sehover S.A.C.,2,TRUE
Corporacion Solivan,Corporacion Solivan,1,TRUE
Corporacion Tecnologica Capsule Sac,Corporacion Tecnologica Capsule Sac,2,TRUE
Corporacion Telecom Byte,Corporacion Telecom Byte,1,TRUE
Corporacion Turistica Peruana Sac,Corporacion Turistica Peruana Sac,1,TRUE
Corporacion Usil,Corporacion Usil,3,TRUE
Corporacion Venezolana De Television,Corporacion Venezolana De Television,4,TRUE
Corporation Peter The Great,Corporation Peter The Great,2,TRUE
Corporation Tekny Ran,Corporation Tekny Ran,1,TRUE
Corporation Withmory,Corporation Withmory,1,TRUE
Corporativo Fabstestex Peru,Corporativo Fabstestex Peru,1,TRUE
Corredores De Seguro Falabella,Corredores De Seguro Falabella,1,TRUE
Corte Superior De Justicia De Lima,Corte Superior De Justicia De Lima,1,TRUE
Cosapi Data,Corporacion Sapia S.A.,2,FALSE
Cosapi S.A,Cosapi S.A.,3,FALSE
Cosapi S.A.,Cosapi S.A.,2,TRUE
Cosapi Sa,Cosapi S.A.,1,FALSE
Cosapisoft,Cosapi S.A.,1,FALSE
Cosmo Industrial Eirl,Cosmo Industrial Eirl,1,TRUE
Cosmos Agencia Maritima,Cosmos Agencia Maritima,1,TRUE
Costa Del Sol,Costa Del Sol,1,TRUE
Coursera | Goole,Coursera | Goole,1,TRUE
Cp Group S.A.C.,Cp Group S.A.C.,1,TRUE
Crac Raiz Saa,Crac Raiz Saa,3,TRUE
Crati Consulting Para Banco Falabella,Crati Consulting Para Banco Falabella,1,TRUE
Crazy Studio,Crazy Studio,1,TRUE
Creaciones Ainbo S.A.C.,Creaciones Ainbo S.A.C.,1,TRUE
Creamas,Creamas,1,TRUE
Creando Danzando Ando,Creando Danzando Ando,1,TRUE
Creavity Sac,Creavity Sac,1,TRUE
Credicorp,Credicorp,7,TRUE
Credinka,Credinka,3,TRUE
Crediplaza S.A.C.,Crediplaza S.A.C.,1,TRUE
Criteria It,Criteria It,1,TRUE
Crosland,Crosland Sac,3,FALSE
Crosland Sac,Crosland Sac,5,TRUE
Crossnet Sac,Crossnet Sac,1,TRUE
Crossover,Crossover,4,TRUE
Crovisa Sac,Crovisa Sac,1,TRUE
Cryptocash,Cryptocash,8,TRUE
Cs Jose Carlos Mariategui,Cs Jose Carlos Mariategui,1,TRUE
Csi Data Working,Csi Data Working,1,TRUE
Csi Renting Peru S.A.C,Csi Renting Peru S.A.C,1,TRUE
Csti,Chain Services Ti S.A.C. - Csti,8,FALSE
Csti Corp,Chain Services Ti S.A.C. - Csti,7,FALSE
Csti Corp - Arca Continental Lindley,Chain Services Ti S.A.C. - Csti,1,FALSE
Csti Corp.,Chain Services Ti S.A.C. - Csti,1,FALSE
Csti Group,Chain Services Ti S.A.C. - Csti,1,FALSE
Csticorp,Chain Services Ti S.A.C. - Csti,1,FALSE
